train_id,train_name,route_name,station_destination_name,departure_time_utc7,color,destination_time_utc7,station_departure_name,station_departure_id,station_destination_id
1398B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,20:53:00,#E30A16,22:09:00,SAWAH BESAR,SW,BOO
1407B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,20:54:00,#E30A16,21:04:00,SAWAH BESAR,SW,JAKK
1402B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,21:07:00,#E30A16,22:25:00,SAWAH BESAR,SW,BOO
1404B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,21:13:00,#E30A16,22:29:00,SAWAH BESAR,SW,BOO
1411B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,21:14:00,#E30A16,21:25:00,SAWAH BESAR,SW,JAKK
1415B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,21:24:00,#E30A16,21:34:00,SAWAH BESAR,SW,JAKK
1408B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,21:28:00,#E30A16,22:44:00,SAWAH BESAR,SW,BOO
1419B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,21:39:00,#E30A16,21:49:00,SAWAH BESAR,SW,JAKK
1412B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,21:43:00,#E30A16,22:59:00,SAWAH BESAR,SW,BOO
1521B,COMMUTER LINE BOGOR,NAMBO-JAKARTAKOTA,JAKARTAKOTA,21:44:00,#E30A16,21:54:00,SAWAH BESAR,SW,JAKK
1414B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,21:52:00,#E30A16,23:08:00,SAWAH BESAR,SW,BOO
1423B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,21:54:00,#E30A16,22:05:00,SAWAH BESAR,SW,JAKK
1418B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,22:05:00,#E30A16,23:21:00,SAWAH BESAR,SW,BOO
1425B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,22:06:00,#E30A16,22:16:00,SAWAH BESAR,SW,JAKK
1420B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,22:12:00,#E30A16,23:28:00,SAWAH BESAR,SW,BOO
1424B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,22:20:00,#E30A16,23:36:00,SAWAH BESAR,SW,BOO
1431B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,22:20:00,#E30A16,22:30:00,SAWAH BESAR,SW,JAKK
1433B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,22:24:00,#E30A16,22:34:00,SAWAH BESAR,SW,JAKK
1426B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,22:31:00,#E30A16,23:47:00,SAWAH BESAR,SW,BOO
1437B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,22:36:00,#E30A16,22:46:00,SAWAH BESAR,SW,JAKK
1432B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,22:47:00,#E30A16,00:03:00,SAWAH BESAR,SW,BOO
1443B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,22:54:00,#E30A16,23:04:00,SAWAH BESAR,SW,JAKK
1434B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,22:57:00,#E30A16,00:12:00,SAWAH BESAR,SW,BOO
1438B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,23:07:00,#E30A16,00:23:00,SAWAH BESAR,SW,BOO
1449B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,23:13:00,#E30A16,23:23:00,SAWAH BESAR,SW,JAKK
1523B,COMMUTER LINE BOGOR,NAMBO-JAKARTAKOTA,JAKARTAKOTA,23:19:00,#E30A16,23:29:00,SAWAH BESAR,SW,JAKK
1442B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,23:21:00,#E30A16,00:37:00,SAWAH BESAR,SW,BOO
1455B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,23:30:00,#E30A16,23:40:00,SAWAH BESAR,SW,JAKK
1446B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,23:39:00,#E30A16,00:55:00,SAWAH BESAR,SW,BOO
1448B,COMMUTER LINE BOGOR,JAKARTAKOTA-DEPOK,DEPOK,23:44:00,#E30A16,00:34:00,SAWAH BESAR,SW,DP
1452B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,23:57:00,#E30A16,01:17:00,SAWAH BESAR,SW,BOO
1000B,COMMUTER LINE BOGOR,MANGGARAI-BOGOR,BOGOR,04:36:00,#E30A16,05:34:00,TEBET,TEB,BOO
1113B,COMMUTER LINE BOGOR,DEPOK-JAKARTAKOTA,JAKARTAKOTA,04:38:00,#E30A16,05:09:00,TEBET,TEB,JAKK
1115B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,04:55:00,#E30A16,05:25:00,TEBET,TEB,JAKK
1119B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,05:05:00,#E30A16,05:37:00,TEBET,TEB,JAKK
1121B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,05:15:00,#E30A16,05:45:00,TEBET,TEB,JAKK
1123B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,05:20:00,#E30A16,05:49:00,TEBET,TEB,JAKK
1125B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,05:25:00,#E30A16,05:53:00,TEBET,TEB,JAKK
1127B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,05:30:00,#E30A16,06:00:00,TEBET,TEB,JAKK
1129B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,05:35:00,#E30A16,06:05:00,TEBET,TEB,JAKK
1131B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,05:45:00,#E30A16,06:15:00,TEBET,TEB,JAKK
1133B,COMMUTER LINE BOGOR,DEPOK-JAKARTAKOTA,JAKARTAKOTA,05:50:00,#E30A16,06:20:00,TEBET,TEB,JAKK
1504B,COMMUTER LINE BOGOR,JAKARTAKOTA-NAMBO,NAMBO,05:52:00,#E30A16,06:52:00,TEBET,TEB,NMO
1135B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,05:55:00,#E30A16,06:28:00,TEBET,TEB,JAKK
1114B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,06:00:00,#E30A16,06:58:00,TEBET,TEB,BOO
